strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl
OrderBlock Stra,32,15,17,46.9,53.1,1.373,0.001903,0.000725,-0.000528,0.004592,1.212,0.408,2h 7m,16.0,6.0,10.0,-0.003673,4.0,3.0,1.0,0.002178,12.0,6.0,6.0,0.003398,,,,,,,,,,,,
EMA Crossover (,44,29,15,65.9,34.1,1.008,0.005451,0.000387,-0.000384,0.001395,1.946,1.736,0h 38m,,,,,,,,,,,,,23.0,18.0,5.0,0.005672,19.0,10.0,9.0,0.000266,2.0,1.0,1.0,-0.000487
Bollinger Bands,56,29,27,51.8,48.2,0.876,-0.000744,0.000409,-0.000467,0.00363,0.941,-0.173,0h 17m,30.0,14.0,16.0,-0.003966,15.0,10.0,5.0,0.002827,11.0,5.0,6.0,0.000395,,,,,,,,,,,,
VWAP,202,131,71,64.9,35.1,1.091,0.023755,0.000361,-0.000331,0.003233,2.011,3.779,0h 26m,,,,,,,,,,,,,83.0,75.0,8.0,0.034149,89.0,42.0,47.0,-0.011172,30.0,14.0,16.0,0.000778
Triple EMA,73,23,50,31.5,68.5,1.195,-0.009941,0.000528,-0.000442,0.014211,0.55,-2.103,1h 8m,,,,,,,,,,,,,24.0,13.0,11.0,-2.3e-05,49.0,10.0,39.0,-0.009918,,,,
FVG Strategy(mi,90,43,47,47.8,52.2,1.155,0.001275,0.000552,-0.000478,0.004982,1.057,0.213,0h 19m,40.0,16.0,24.0,-0.004875,32.0,16.0,16.0,0.002311,18.0,11.0,7.0,0.003839,,,,,,,,,,,,
SMCStrategy,43,25,18,58.1,41.9,1.656,0.014832,0.00105,-0.000634,0.003487,2.299,1.743,6h 34m,,,,,,,,,,,,,35.0,17.0,18.0,-0.003369,8.0,8.0,0.0,0.018201,,,,
