strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,80,38,42,47.5,52.5,1.119,0.000246,0.000499,-0.000446,0.006235,1.013,0.044,3h 28m,36.0,0.0,36.0,-0.018382,12.0,12.0,0.0,0.009129,32.0,26.0,6.0,0.009499,,,,,,,,,,,,,,,,
EMA Crossover (,68,28,40,41.2,58.8,1.868,0.012298,0.00187,-0.001001,0.00973,1.307,1.033,10h 17m,,,,,,,,,,,,,35.0,0.0,35.0,-0.038446,27.0,27.0,0.0,0.051452,6.0,1.0,5.0,-0.000708,,,,
Bollinger Bands,129,67,62,51.9,48.1,0.484,-0.032532,0.000533,-0.001101,0.032448,0.523,-3.28,5h 15m,62.0,0.0,62.0,-0.068239,2.0,2.0,0.0,0.003796,53.0,53.0,0.0,0.024815,,,,,,,,,,,,,12.0,12.0,0.0,0.007096
VWAP,513,191,322,37.2,62.8,3.12,0.075079,0.000855,-0.000274,0.006243,1.852,4.254,2h 53m,,,,,,,,,,,,,45.0,0.0,45.0,-0.04952,65.0,65.0,0.0,0.123568,403.0,126.0,277.0,0.001031,,,,
Triple EMA,109,34,75,31.2,68.8,1.753,-0.016835,0.00192,-0.001095,0.016595,0.795,-1.149,9h 58m,,,,,,,,,,,,,75.0,0.0,75.0,-0.082129,34.0,34.0,0.0,0.065294,,,,,,,,
FVG Strategy(mi,159,93,66,58.5,41.5,0.53,-0.018409,0.000582,-0.001099,0.023208,0.746,-1.679,5h 23m,66.0,0.0,66.0,-0.072561,9.0,9.0,0.0,0.012658,84.0,84.0,0.0,0.041494,,,,,,,,,,,,,,,,
SMCStrategy,98,59,39,60.2,39.8,0.819,0.019885,0.001744,-0.002129,0.025476,1.239,0.848,15h 45m,,,,,,,,,,,,,76.0,37.0,39.0,-0.04597,22.0,22.0,0.0,0.065855,,,,,,,,
