strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl,exit_TRAIL_SL_count,exit_TRAIL_SL_wins,exit_TRAIL_SL_losses,exit_TRAIL_SL_pnl
OrderBlock Stra,91,41,50,45.1,54.9,0.799,-0.022735,0.001056,-0.001321,0.032505,0.656,-1.592,2h 26m,57.0,26.0,31.0,-0.015685,15.0,5.0,10.0,-0.009245,19.0,10.0,9.0,0.002195,,,,,,,,,,,,,,,,
EMA Crossover (,99,42,57,42.4,57.6,0.501,-0.053519,0.000746,-0.001488,0.059869,0.369,-3.844,0h 30m,,,,,,,,,,,,,41.0,41.0,0.0,0.031312,58.0,1.0,57.0,-0.084831,,,,,,,,
Bollinger Bands,130,80,50,61.5,38.5,0.889,0.023118,0.000975,-0.001097,0.013473,1.421,1.526,4h 8m,61.0,31.0,30.0,0.003665,7.0,4.0,3.0,-0.001739,48.0,31.0,17.0,0.020123,,,,,,,,,14.0,14.0,0.0,0.001069,,,,
VWAP,446,240,206,53.8,46.2,1.009,0.040505,0.001131,-0.001121,0.012368,1.175,1.338,0h 30m,,,,,,,,,,,,,235.0,235.0,0.0,0.271028,211.0,5.0,206.0,-0.230523,,,,,,,,
Triple EMA,213,85,128,39.9,60.1,0.421,-0.136971,0.000626,-0.001486,0.16791,0.28,-7.169,0h 30m,,,,,,,,,,,,,85.0,85.0,0.0,0.05323,128.0,0.0,128.0,-0.190201,,,,,,,,
FVG Strategy(mi,185,100,85,54.1,45.9,0.924,0.009141,0.001139,-0.001233,0.022955,1.087,0.455,3h 54m,76.0,37.0,39.0,-0.005827,6.0,4.0,2.0,0.001556,103.0,59.0,44.0,0.013412,,,,,,,,,,,,,,,,
SMCStrategy,116,48,68,41.4,58.6,1.35,-0.000337,0.000135,-0.0001,0.003076,0.951,-0.156,10h 56m,,,,,,,,,,,,,23.0,1.0,22.0,-0.005387,72.0,26.0,46.0,-0.000565,,,,,21.0,21.0,0.0,0.005615
