strategy,total_trades,wins,losses,win_rate,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl
OrderBlock Stra,11,6,5,54.5,0.000186,0.000234,-0.000244,0.000507,1.152,0.178,3h 27m,3.0,0.0,3.0,-0.001063,2.0,2.0,0.0,0.000934,6.0,4.0,2.0,0.000315,,,,,,,,,,,,
EMA Crossover (,5,2,3,40.0,0.000554,0.00192,-0.001095,0.003285,1.169,0.15,10h 30m,,,,,,,,,,,,,3.0,0.0,3.0,-0.003285,2.0,2.0,0.0,0.003839,,,,
Bollinger Bands,27,13,14,48.1,-0.006537,0.000682,-0.0011,0.008243,0.576,-1.257,3h 20m,14.0,0.0,14.0,-0.015403,2.0,2.0,0.0,0.003796,11.0,11.0,0.0,0.00507,,,,,,,,,,,,
VWAP,81,32,49,39.5,0.018659,0.001001,-0.000273,0.002155,2.394,2.439,2h 52m,,,,,,,,,,,,,7.0,0.0,7.0,-0.007686,13.0,13.0,0.0,0.024681,61.0,19.0,42.0,0.001664
Triple EMA,20,7,13,35.0,-0.000797,0.001921,-0.001095,0.007668,0.944,-0.121,7h 57m,,,,,,,,,,,,,13.0,0.0,13.0,-0.014241,7.0,7.0,0.0,0.013444,,,,
FVG Strategy(mi,27,16,11,59.3,-0.002358,0.000609,-0.001101,0.006848,0.805,-0.52,4h 47m,11.0,0.0,11.0,-0.012106,,,,,16.0,16.0,0.0,0.009748,,,,,,,,,,,,
SMCStrategy,18,9,9,50.0,-0.012541,0.001906,-0.003299,0.025476,0.578,-0.961,14h 45m,,,,,,,,,,,,,15.0,6.0,9.0,-0.022653,3.0,3.0,0.0,0.010112,,,,
