strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,59,21,38,35.6,64.4,1.333,-3e-05,4e-06,-3e-06,3.5e-05,0.717,-0.931,1h 49m,32.0,0.0,32.0,-0.000104,10.0,10.0,0.0,5.2e-05,17.0,11.0,6.0,2.2e-05,,,,,,,,,,,,,,,,
EMA Crossover (,39,12,27,30.8,69.2,2.111,-5e-06,1.9e-05,-9e-06,6e-05,0.979,-0.06,9h 40m,,,,,,,,,,,,,18.0,0.0,18.0,-0.000198,12.0,12.0,0.0,0.000228,9.0,0.0,9.0,-3.5e-05,,,,
Bollinger Bands,66,42,24,63.6,36.4,0.5,-2.9e-05,5e-06,-1e-05,6.7e-05,0.881,-0.436,5h 16m,22.0,0.0,22.0,-0.000242,,,,,22.0,22.0,0.0,9.7e-05,,,,,,,,,,,,,22.0,20.0,2.0,0.000116
VWAP,365,104,261,28.5,71.5,7.0,0.000359,7e-06,-1e-06,3.5e-05,2.011,3.577,1h 45m,,,,,,,,,,,,,5.0,0.0,5.0,-5.5e-05,19.0,19.0,0.0,0.000361,341.0,85.0,256.0,5.3e-05,,,,
Triple EMA,44,13,31,29.5,70.5,1.727,-9.4e-05,1.9e-05,-1.1e-05,0.000121,0.724,-1.024,11h 26m,,,,,,,,,,,,,31.0,0.0,31.0,-0.000341,13.0,13.0,0.0,0.000247,,,,,,,,
FVG Strategy(mi,75,44,31,58.7,41.3,0.545,-8.9e-05,6e-06,-1.1e-05,0.000143,0.739,-1.196,5h 29m,31.0,0.0,31.0,-0.000341,2.0,2.0,0.0,2.8e-05,42.0,42.0,0.0,0.000224,,,,,,,,,,,,,,,,
SMCStrategy,71,28,43,39.4,60.6,0.583,-0.00033,7e-06,-1.2e-05,0.000337,0.364,-3.491,7h 18m,,,,,,,,,,,,,65.0,22.0,43.0,-0.000413,6.0,6.0,0.0,8.3e-05,,,,,,,,
