strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,66,21,45,31.8,68.2,1.25,-7.2e-05,5e-06,-4e-06,7.2e-05,0.613,-1.621,1h 20m,37.0,0.0,37.0,-0.000182,13.0,13.0,0.0,8.3e-05,16.0,8.0,8.0,2.7e-05,,,,,,,,,,,,,,,,
EMA Crossover (,42,15,27,35.7,64.3,1.9,1.8e-05,1.9e-05,-1e-05,0.000132,1.068,0.197,5h 49m,,,,,,,,,,,,,24.0,0.0,24.0,-0.000259,15.0,15.0,0.0,0.000283,3.0,0.0,3.0,-6e-06,,,,
Bollinger Bands,77,39,38,50.6,49.4,0.636,-0.000144,7e-06,-1.1e-05,0.000183,0.653,-1.691,2h 45m,38.0,0.0,38.0,-0.000415,4.0,4.0,0.0,7.6e-05,25.0,25.0,0.0,0.000111,,,,,,,,,,,,,10.0,10.0,0.0,8.4e-05
VWAP,340,135,205,39.7,60.3,4.5,0.000761,9e-06,-2e-06,5.6e-05,2.684,5.457,1h 35m,,,,,,,,,,,,,17.0,0.0,17.0,-0.000188,44.0,44.0,0.0,0.000834,279.0,91.0,188.0,0.000115,,,,
Triple EMA,73,23,50,31.5,68.5,1.727,-0.000108,1.9e-05,-1.1e-05,0.000229,0.803,-0.896,4h 45m,,,,,,,,,,,,,50.0,0.0,50.0,-0.000549,23.0,23.0,0.0,0.000441,,,,,,,,
FVG Strategy,116,67,49,57.8,42.2,0.455,-0.000177,5e-06,-1.1e-05,0.000211,0.672,-1.922,2h 37m,49.0,0.0,49.0,-0.00054,6.0,6.0,0.0,8.4e-05,61.0,61.0,0.0,0.000279,,,,,,,,,,,,,,,,
SMCStrategy,74,39,35,52.7,47.3,0.938,1e-06,1.5e-05,-1.6e-05,0.000125,1.002,0.006,6h 4m,,,,,,,,,,,,,55.0,20.0,35.0,-0.000411,19.0,19.0,0.0,0.000412,,,,,,,,
