strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,178,49,129,27.5,72.5,1.277,-0.022495,0.000433,-0.000339,0.022365,0.485,-3.772,1h 50m,114.0,0.0,114.0,-0.042722,23.0,22.0,1.0,0.013556,41.0,27.0,14.0,0.006671,,,,,,,,,,,,,,,,
EMA Crossover (,134,42,92,31.3,68.7,2.093,-0.003496,0.001815,-0.000867,0.016985,0.956,-0.231,7h 5m,,,,,,,,,,,,,65.0,0.0,65.0,-0.071445,40.0,40.0,0.0,0.076086,29.0,2.0,27.0,-0.008137,,,,
Bollinger Bands,226,123,103,54.4,45.6,0.559,-0.036552,0.000599,-0.001071,0.039925,0.669,-2.706,4h 26m,100.0,0.0,100.0,-0.109989,4.0,4.0,0.0,0.007522,60.0,60.0,0.0,0.026452,,,,,,,,,,,,,62.0,59.0,3.0,0.039463
VWAP,1160,373,787,32.2,67.8,4.376,0.132827,0.000687,-0.000157,0.005865,2.077,6.684,1h 31m,,,,,,,,,,,,,28.0,0.0,28.0,-0.030777,82.0,82.0,0.0,0.155974,1050.0,291.0,759.0,0.00763,,,,
Triple EMA,147,53,94,36.1,63.9,1.753,-0.001163,0.00192,-0.001095,0.013652,0.989,-0.066,8h 56m,,,,,,,,,,,,,94.0,0.0,94.0,-0.102931,53.0,53.0,0.0,0.101768,,,,,,,,
FVG Strategy(mi,247,137,110,55.5,44.5,0.511,-0.043918,0.000562,-0.0011,0.048409,0.637,-3.224,4h 39m,110.0,0.0,110.0,-0.120964,13.0,13.0,0.0,0.01819,124.0,124.0,0.0,0.058856,,,,,,,,,,,,,,,,
SMCStrategy,210,99,111,47.1,52.9,0.924,-0.024578,0.001159,-0.001255,0.035237,0.824,-1.104,7h 4m,,,,,,,,,,,,,169.0,58.0,111.0,-0.103062,41.0,41.0,0.0,0.078484,,,,,,,,
