strategy,total_trades,wins,losses,win_rate,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl,exit_TRAIL_SL_count,exit_TRAIL_SL_wins,exit_TRAIL_SL_losses,exit_TRAIL_SL_pnl
<bound method OrderBlockStrategy.name of <strategies.ob_strategy.OrderBlockStrategy object at 0x000002649C12CE90>>,32,16,16,50.0,-0.00745,0.001942,-0.002408,0.019241,0.807,-0.57,2h 23m,21.0,10.0,11.0,-0.010068,5.0,2.0,3.0,-0.002444,6.0,4.0,2.0,0.005062,,,,,,,,,,,,,,,,
<bound method EMACrossoverStrategy.name of <strategies.ema_crossover.EMACrossoverStrategy object at 0x000002649C400090>>,31,9,22,29.0,-0.035827,0.001834,-0.002379,0.044968,0.315,-3.11,0h 30m,,,,,,,,,,,,,9.0,9.0,0.0,0.01651,22.0,0.0,22.0,-0.052337,,,,,,,,
<bound method BollingerBandsStrategy.name of <strategies.bollinger_bands.BollingerBandsStrategy object at 0x000002649C401190>>,40,23,17,57.5,0.011159,0.001958,-0.001992,0.013473,1.329,0.831,4h 2m,19.0,10.0,9.0,0.003595,3.0,0.0,3.0,-0.005809,16.0,11.0,5.0,0.01316,,,,,,,,,2.0,2.0,0.0,0.000213,,,,
VWAP,157,83,74,52.9,0.024545,0.002151,-0.002081,0.012368,1.159,0.88,0h 30m,,,,,,,,,,,,,83.0,83.0,0.0,0.17852,74.0,0.0,74.0,-0.153975,,,,,,,,
Triple EMA,78,0,78,0.0,-0.166155,0.0,-0.00213,0.164315,0.0,-27.393,0h 30m,,,,,,,,,,,,,,,,,78.0,0.0,78.0,-0.166155,,,,,,,,
<bound method FVGStrategy.name of <strategies.fv_strategy.FVGStrategy object at 0x000002649CB037D0>>,70,36,34,51.4,0.007129,0.002151,-0.002068,0.013892,1.101,0.383,3h 22m,31.0,15.0,16.0,-0.002024,2.0,1.0,1.0,0.000329,37.0,20.0,17.0,0.008824,,,,,,,,,,,,,,,,
"<bound method SMCStrategy.name of SMCStrategy(swing_lookback=5, atr_length=14, atr_multiplier=1.5, trail_activation_atr=2.0, sl_atr_buffer=0.3, ob_strength_period=20, ob_strength_mult=0.3, max_ob_age_candles=30, rr_ratio=2.0, trend_ema_period=50, bos_type=close, choch_type=close, ob_proximity_atr=3.0)>",25,11,14,44.0,0.000723,0.000186,-9.5e-05,0.000898,1.546,0.673,16h 19m,,,,,,,,,,,,,3.0,0.0,3.0,-0.000934,14.0,3.0,11.0,-0.000339,,,,,8.0,8.0,0.0,0.001996
