strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,62,17,45,27.4,72.6,1.676,-0.000609,6.2e-05,-3.7e-05,0.000651,0.632,-1.471,1h 46m,40.0,0.0,40.0,-0.00163,8.0,8.0,0.0,0.000767,14.0,9.0,5.0,0.000254,,,,,,,,,,,,,,,,
EMA Crossover (,47,16,31,34.0,66.0,2.0,8.5e-05,0.000178,-8.9e-05,0.001059,1.031,0.093,6h 9m,,,,,,,,,,,,,23.0,0.0,23.0,-0.002532,15.0,15.0,0.0,0.002844,9.0,1.0,8.0,-0.000227,,,,
Bollinger Bands,81,41,40,50.6,49.4,0.654,-0.001422,7e-05,-0.000107,0.001939,0.669,-1.67,3h 44m,39.0,0.0,39.0,-0.004283,2.0,2.0,0.0,0.000376,26.0,26.0,0.0,0.001417,,,,,,,,,,,,,14.0,13.0,1.0,0.001068
VWAP,389,120,269,30.8,69.2,4.471,0.00454,7.6e-05,-1.7e-05,0.000586,1.99,3.692,1h 28m,,,,,,,,,,,,,13.0,0.0,13.0,-0.001426,33.0,33.0,0.0,0.00626,343.0,87.0,256.0,-0.000294,,,,
Triple EMA,63,21,42,33.3,66.7,1.761,-0.000565,0.000192,-0.000109,0.001364,0.877,-0.497,6h 53m,,,,,,,,,,,,,42.0,0.0,42.0,-0.004597,21.0,21.0,0.0,0.004032,,,,,,,,
FVG Strategy(mi,87,47,40,54.0,46.0,0.482,-0.001898,5.3e-05,-0.00011,0.001843,0.569,-2.386,4h 4m,40.0,0.0,40.0,-0.004401,4.0,4.0,0.0,0.000558,43.0,43.0,0.0,0.001945,,,,,,,,,,,,,,,,
SMCStrategy,76,33,43,43.4,56.6,0.707,-0.002867,0.000104,-0.000147,0.002768,0.546,-2.131,6h 15m,,,,,,,,,,,,,64.0,21.0,43.0,-0.004924,12.0,12.0,0.0,0.002057,,,,,,,,
