strategy,total_trades,wins,losses,win_rate,loss_rate,avg_win_loss_ratio,total_pnl_btc,avg_win_btc,avg_loss_btc,max_drawdown_btc,profit_factor,sharpe_ratio,avg_duration,exit_EXIT_SL_count,exit_EXIT_SL_wins,exit_EXIT_SL_losses,exit_EXIT_SL_pnl,exit_EXIT_TP_count,exit_EXIT_TP_wins,exit_EXIT_TP_losses,exit_EXIT_TP_pnl,exit_EXIT_TRAIL_count,exit_EXIT_TRAIL_wins,exit_EXIT_TRAIL_losses,exit_EXIT_TRAIL_pnl,exit_SL_count,exit_SL_wins,exit_SL_losses,exit_SL_pnl,exit_TP_count,exit_TP_wins,exit_TP_losses,exit_TP_pnl,exit_signal_flip_count,exit_signal_flip_wins,exit_signal_flip_losses,exit_signal_flip_pnl,exit_EXIT_BAND_FLIP_count,exit_EXIT_BAND_FLIP_wins,exit_EXIT_BAND_FLIP_losses,exit_EXIT_BAND_FLIP_pnl
OrderBlock Stra,31,16,15,51.6,48.4,0.878,-0.000266,0.000253,-0.000288,0.00118,0.938,-0.153,5h 29m,15.0,7.0,8.0,-0.00106,3.0,2.0,1.0,0.000491,13.0,7.0,6.0,0.000303,,,,,,,,,,,,,,,,
EMA Crossover (,29,17,12,58.6,41.4,1.645,0.002261,0.000232,-0.000141,0.000747,2.337,1.736,21h 2m,,,,,,,,,,,,,12.0,10.0,2.0,0.001043,12.0,6.0,6.0,0.001668,5.0,1.0,4.0,-0.00045,,,,
Bollinger Bands,74,34,40,45.9,54.1,0.963,-0.001583,0.000211,-0.000219,0.002135,0.819,-0.713,7h 1m,34.0,13.0,21.0,-0.003429,6.0,4.0,2.0,0.001573,30.0,13.0,17.0,-8.8e-05,,,,,,,,,,,,,4.0,4.0,0.0,0.000361
VWAP,227,131,96,57.7,42.3,3.213,0.015207,0.000151,-4.7e-05,0.000745,4.367,7.57,4h 34m,,,,,,,,,,,,,76.0,75.0,1.0,0.012639,45.0,12.0,33.0,-0.000379,106.0,44.0,62.0,0.002947,,,,
Triple EMA,48,35,13,72.9,27.1,1.383,0.005931,0.000231,-0.000167,0.000778,3.739,3.6,21h 12m,,,,,,,,,,,,,30.0,25.0,5.0,0.00312,18.0,10.0,8.0,0.002811,,,,,,,,
FVG Strategy(mi,97,45,52,46.4,53.6,0.931,-0.002325,0.000215,-0.000231,0.003679,0.806,-0.903,5h 21m,40.0,13.0,27.0,-0.005484,3.0,3.0,0.0,0.000904,54.0,29.0,25.0,0.002255,,,,,,,,,,,,,,,,
SMCStrategy,61,33,28,54.1,45.9,1.009,0.00118,0.000225,-0.000223,0.002179,1.189,0.543,25h 10m,,,,,,,,,,,,,47.0,19.0,28.0,-0.003817,14.0,14.0,0.0,0.004997,,,,,,,,
