timestamp,side,size_lots,size_btc,entry_price,exit_price,gross_pnl_btc,commission_btc,net_pnl_btc,exit_reason
2026-07-02 04:03:43,SELL,10,0.01,60963.5,60958.0,0.055,0.609607,-0.554607,EXIT_BAND_FLIP
2026-07-02 04:05:01,BUY,10,0.01,60952.0,60973.0,0.21,0.609625,-0.399625,EXIT_BAND_FLIP
2026-07-02 04:05:19,SELL,10,0.01,60944.5,60945.5,-0.01,0.60945,-0.61945,EXIT_BAND_FLIP
2026-07-02 04:17:01,BUY,10,0.01,60871.0,60907.0,0.36,0.60889,-0.24889,EXIT_BAND_FLIP
2026-07-02 04:18:49,SELL,10,0.01,60912.5,60908.5,0.04,0.609105,-0.569105,EXIT_BAND_FLIP
2026-07-02 05:01:09,SELL,10,0.01,60790.5,60669.5,1.21,0.6073,0.6027,EXIT_BAND_FLIP
2026-07-02 06:22:21,BUY,10,0.01,60683.5,60520.0,-1.635,0.606018,-2.241017,EXIT_BAND_FLIP
2026-07-02 07:36:20,SELL,10,0.01,1616.8,1616.45,0.0035,0.016166,-0.012666,EXIT_BAND_FLIP
2026-07-02 07:38:50,BUY,10,0.01,1616.5,1616.05,-0.0045,0.016163,-0.020663,EXIT_BAND_FLIP
2026-07-02 07:40:08,SELL,10,0.01,1616.6,1616.15,0.0045,0.016164,-0.011664,EXIT_BAND_FLIP
2026-07-02 07:48:07,SELL,10,0.01,1616.3,1615.15,0.0115,0.016157,-0.004657,EXIT_BAND_FLIP
2026-07-02 08:03:07,BUY,10,0.01,1617.05,1616.8,-0.0025,0.016169,-0.018669,EXIT_BAND_FLIP
2026-07-02 08:06:31,BUY,10,0.01,60236.0,60206.5,-0.295,0.602213,-0.897212,EXIT_BAND_FLIP
2026-07-02 09:05:11,SELL,10,0.01,60481.5,60434.5,0.47,0.60458,-0.13458,EXIT_BAND_FLIP
2026-07-02 10:13:29,BUY,10,0.01,61184.0,61180.0,-0.04,0.61182,-0.65182,EXIT_BAND_FLIP
2026-07-02 11:31:06,SELL,10,0.01,61246.5,61249.0,-0.025,0.612478,-0.637478,EXIT_BAND_FLIP
2026-07-02 11:43:08,SELL,10,0.00016325,61255.5,61261.0,-1e-08,1.6e-07,-1.8e-07,EXIT_BAND_FLIP
2026-07-02 11:46:08,SELL,10,0.00016321,61270.0,61265.0,1e-08,1.6e-07,-1.5e-07,EXIT_BAND_FLIP
2026-07-02 11:47:50,BUY,10,0.00016323,61265.0,61262.5,-1e-08,1.6e-07,-1.7e-07,EXIT_BAND_FLIP
2026-07-02 11:48:48,BUY,10,0.00016326,61251.5,61261.5,3e-08,1.6e-07,-1.4e-07,EXIT_BAND_FLIP
2026-07-02 11:51:38,BUY,10,0.00016326,61251.5,61247.0,-1e-08,1.6e-07,-1.8e-07,EXIT_BAND_FLIP
2026-07-02 12:20:19,SELL,10,0.00016311,61308.5,61162.5,3.9e-07,1.6e-07,2.3e-07,EXIT_BAND_FLIP
2026-07-02 13:31:38,SELL,10,0.00016239,61581.0,61730.5,-3.9e-07,1.6e-07,-5.6e-07,EXIT_SL
2026-07-02 15:10:02,BUY,10,0.00016226,61630.0,61514.0,-3.1e-07,1.6e-07,-4.7e-07,EXIT_SL
2026-07-03 03:41:38,BUY,1,1.627e-05,61461.5,61460.5,-0.0,2e-08,-2e-08,EXIT_BAND_FLIP
2026-07-03 03:53:27,SELL,1,1.63e-05,61356.5,61346.5,0.0,2e-08,-1e-08,EXIT_BAND_FLIP
2026-07-03 09:05:58,SELL,1.0,1.625e-05,61552.5,1726.8,0.00056286,3e-07,0.00056256,EXIT_TP
2026-07-03 10:46:54,SELL,1.0,1.625e-05,61552.5,1743.1,0.00055744,2.9e-07,0.00055715,EXIT_TP
2026-07-03 10:48:04,SELL,1.0,1.625e-05,61552.5,1744.65,0.00055693,2.9e-07,0.00055664,EXIT_TP
2026-07-03 10:50:34,SELL,1.0,1.625e-05,61552.5,1744.85,0.00055687,2.9e-07,0.00055657,EXIT_TP
2026-07-03 10:58:09,SELL,1.0,1.625e-05,61552.5,1743.45,0.00055733,2.9e-07,0.00055703,EXIT_TP
2026-07-04 14:47:04,BUY,20.0,0.00031972,62554.75,0.0778,-257.06908902,0.12853486,-257.19762388,EXIT_SL
2026-07-05 02:05:52,SELL,10,8.73362445,1.145,1.145,0.0,0.00873362,-0.00873362,EMERGENCY_NETWORK_FAILURE
2026-07-05 05:28:15,SELL,10,0.00566701,1764.6,1763.85,2.41e-06,5.67e-06,-3.26e-06,SL
2026-07-05 05:48:15,SELL,10,0.00566653,1764.75,1761.75,9.65e-06,5.67e-06,3.98e-06,SL
2026-07-05 17:30:41,SELL,1,12.98532658,0.07701,0.07756,-0.09208264,0.01293929,-0.10502193,EXIT_SL
2026-07-07 14:23:00,BUY,12,0.00019019,63095.5,63046.5,-1.5e-07,1.9e-07,-3.4e-07,EXIT_BAND_FLIP
