2026-07-02 19:59:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:51 | DEBUG    | __main__ | Sleeping for 8.9s
2026-07-02 20:00:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 20:00:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 20:00:01 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:00:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:00:11 | INFO     | __main__ | [BTCUSD] No signal. Waiting for next candle.
2026-07-02 20:00:11 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:00:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:00:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:00:21 | DEBUG    | __main__ | Sleeping for 9.0s
2026-07-02 20:00:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:00:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:00:31 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:00:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:00:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:00:41 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:00:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:00:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:00:51 | DEBUG    | __main__ | Sleeping for 9.2s
2026-07-02 20:01:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:01 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:01:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:01:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:21 | DEBUG    | __main__ | Sleeping for 9.5s
